3
4
1.0 0.0 0.0
0.0 1.0 0.0
2.0 2.0 0.0
1.0 1.0 2.0
0.069 -0.368 -0.150
-0.368 0.069 -0.150
0.727 0.145 -0.188
-0.077 -0.77 0.257
6
1 2
1 3
1 4
2 3
2 4
3 4
4
1 2 3
1 2 4
1 3 4
2 3 4
0.0 0.0 -1.0
-0.667 -0.667 0.333
0.873 -0.436 0.218
-0.436 0.873 0.218
4
3.0 2.0 0.0
2.0 3.0 0.0
4.0 4.0 0.0
3.0 3.0 2.0
0.490 0.161 0.146
0.162 0.490 0.146
0.490 0.490 -0.133
0.329 0.329 0.443
6
1 2
1 3
1 4
2 3
2 4
3 4
4
1 2 3
1 2 4
1 3 4
2 3 4
0.485 0.485 -0.728
0.0 0.0 1.0
0.986 0.0 0.164
0.0 0.986 0.164
4
5.0 4.0 0.0
4.0 5.0 0.0
6.0 6.0 0.0
5.0 5.0 2.0
0.751 0.511 -0.005
0.511 0.751 -0.005
0.610 0.610 -0.076
0.624 0.624 0.191
6
1 2
1 3
1 4
2 3
2 4
3 4
4
1 2 3
1 2 4
1 3 4
2 3 4
0.625 0.625 -0.469
0.667 0.667 0.333
0.963 0.241 0.120
0.241 0.963 0.120




